3cpio	0.14.0-1ubuntu1
libappstream5:amd64	1.1.2-1
libapr1t64:amd64	1.7.6-3
libaprutil1-dbd-sqlite3:amd64	1.6.3-3ubuntu3
libaprutil1-ldap:amd64	1.6.3-3ubuntu3
libaprutil1t64:amd64	1.6.3-3ubuntu3
libapt-pkg7.0:amd64	3.2.0
libaquamarine9:amd64	0.10.0-2build1
libarchive13t64:amd64	3.8.5-1ubuntu2.2
libargon2-1:amd64	0~20190702+dfsg-5
libarmadillo15	1:15.2.1+dfsg-2
libarpack2t64:amd64	3.9.1-6build1
libasan8:amd64	16-20260322-1ubuntu1
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2-plugins:amd64	1.2.12-2build1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libaspell15:amd64	0.60.8.2-3
libass9:amd64	1:0.17.4-2
libassuan9:amd64	3.0.2-2build1
libasyncns0:amd64	0.8-7
libatasmart4:amd64	0.19-6
libatk-adaptor:amd64	2.60.0-1
libatk-bridge2.0-0t64:amd64	2.60.0-1
libatk-wrapper-java	0.44.0-1
libatk-wrapper-java-jni:amd64	0.44.0-1
libatk1.0-0t64:amd64	2.60.0-1
libatkmm-1.6-1v5:amd64	2.28.4-2
libatomic1:amd64	16-20260322-1ubuntu1
libatomic1:i386	16-20260322-1ubuntu1
libatopology2t64:amd64	1.2.15.3-1ubuntu1.1
libatspi2.0-0t64:amd64	2.60.0-1
libattr1:amd64	1:2.5.2-4
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libauthen-sasl-perl	2.2000-1
libavahi-client3:amd64	0.8-18ubuntu1.1
libavahi-common-data:amd64	0.8-18ubuntu1.1
libavahi-common3:amd64	0.8-18ubuntu1.1
libavahi-core7:amd64	0.8-18ubuntu1.1
libavahi-glib1:amd64	0.8-18ubuntu1.1
libavahi-ui-gtk3-0:amd64	0.8-18ubuntu1.1
libavc1394-0:amd64	0.5.4-5build4
libavcodec62:amd64	7:8.0.1-3ubuntu2
libavdevice62:amd64	7:8.0.1-3ubuntu2
libavfilter11:amd64	7:8.0.1-3ubuntu2
libavformat62:amd64	7:8.0.1-3ubuntu2
libavif16:amd64	1.3.0-1ubuntu4
libavtp0:amd64	0.2.0-2build1
libavutil60:amd64	7:8.0.1-3ubuntu2
libayatana-appindicator3-1	0.5.94-1build1
libayatana-ido3-0.4-0:amd64	0.10.4-1build1
libayatana-indicator3-7:amd64	0.9.4-2
libb2-1:amd64	0.98.1-1.1build2
libbabeltrace1:amd64	1.5.11-5build1
libbasicobjects0t64:amd64	0.6.2-3build1
libbdplus0:amd64	0.2.0-4build1
libbinutils:amd64	2.46-3ubuntu2
libbit-vector-perl:amd64	7.4-4
libblas3:amd64	3.12.1-7ubuntu1
libblkid-dev:amd64	2.41.3-3ubuntu2
